ratings,author,title,kindleprice,reviews,digitalprice,listprice
4.7 out of 5 stars,HughHowey,Wool Omnibus Edition (Wool 1 - 5) (Silo Saga) ,Rs.322.05,8194,$5.47,$15.99
4.5 out of 5 stars,A.G.Riddle,"The Atlantis World (The Origin Mystery, Book 3) ",Rs.279.00,464,,$15.99
4.5 out of 5 stars,ScottPratt,An Innocent Client (Joe Dillard Series) ,Rs.175.00,1828,,$12.99
4.5 out of 5 stars,HiroshiSakurazaka,All You Need Is Kill ,Rs.363.61,334,$6.63,$13.99
4.4 out of 5 stars,HughHowey,Sand Omnibus ,Rs.399.00,889,,$17.95
4.0 out of 5 stars,,Pursuit And Persuasion (Ben Reese mystery series) ,Rs.164.11,68,,
4.1 out of 5 stars,,On The Imperium's Secret Service (Imperium Cicernus Book 1) ,Rs.177.00,54,,
4.0 out of 5 stars,G.M.Ford,Who In Hell Is Wanda Fuca? (A Leo Waterman Mystery) ,Rs.238.49,236,,$14.95
3.9 out of 5 stars,ElmoreLeonard,Raylan: A Novel ,Rs.119.77,383,$8.99,$14.99
4.0 out of 5 stars,MaxAllanCollins,What Doesn't Kill Her ,Rs.298.26,100,,$14.95
4.0 out of 5 stars,JonathanStone,Moving Day: A Thriller ,Rs.296.06,1368,,$14.95
4.3 out of 5 stars,ChristineKling,Circle of Bones ,Rs.236.73,358,,$14.95
3.8 out of 5 stars,ElizabethZelvin,Death Will Help You Leave Him: A Humorous New York Mystery; Bruce Kohler #2 (Bruce Kohler Series) ,Rs.180.00,115,,$25.99
4.3 out of 5 stars,RobertGalbraith,The Silkworm (Cormoran Strike Book 2) ,Rs.349.50,38,$11.61,$28.00
4.2 out of 5 stars,RayvenT.Hill,Blood and Justice (A Private Investigator Series of Crime Thrillers Book 1) ,Rs.250.00,1215,,
4.3 out of 5 stars,MichaelCraven,The Detective & The Pipe Girl: A Mystery ,Rs.541.50,17,$12.90,$14.99
4.2 out of 5 stars,B.A.Shapiro,The Art Forger: A Novel ,Rs.458.42,1097,$14.74,$14.95
4.4 out of 5 stars,CliffordIrving,FINAL ARGUMENT - A Legal Thriller of Florida Courtroom Justice (Clifford Irving's legal novels Book 2) ,Rs.355.00,117,,
4.8 out of 5 stars,ReginaCalcaterra,Etched in Sand ,Rs.59.17,741,$12.90,$15.99
3.7 out of 5 stars,ThomasPiketty,Capital in the Twenty-First Century ,Rs.741.00,683,$39.67,$39.95
4.0 out of 5 stars,StevenD.LevittStephenJ.Dubner,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain ,Rs.232.75,139,$14.99,$28.99
4.6 out of 5 stars,,One Nation: What We Can All Do to Save America's Future ,Rs.776.44,216,$25.77,$25.95
4.5 out of 5 stars,J.B.West,Upstairs at the White House: My Life with the First Ladies ,Rs.118.95,,$5.91,
4.0 out of 5 stars,G.M.Ford,Thicker Than Water (A Leo Waterman Mystery) ,Rs.236.73,361,,$14.95
4.8 out of 5 stars,MichelleKnightMichelleBurford,"Finding Me: A Decade of Darkness, a Life Reclaimed: A Memoir of the Cleveland Kidnappings ",Rs.567.84,1550,$18.82,$24.99
4.4 out of 5 stars,MitchellZuckoff,Frozen in Time: An Epic Story of Survival and a Modern Quest for Lost Heroes of World War II (P.S.) ,Rs.328.19,,$12.99,$15.99
4.8 out of 5 stars,JJSmith,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days! ,Rs.626.00,1112,,$16.99
4.8 out of 5 stars,MelissaHartwigDallasHartwig,It Starts With Food: Discover the Whole30 and Change Your Life in Unexpected Ways ,Rs.399.00,1255,,$26.95
4.0 out of 5 stars,RichardHouston,A View to Die For ,Rs.168.00,261,,$12.95
4.0 out of 5 stars,,Pursuit And Persuasion (Ben Reese mystery series) ,Rs.164.11,68,,
